Biała Podlaska,Białystok,Bielsko - Biała,Bydgoszcz,Chełm,Ciechanów,Cieszyn,Częstochowa,Elbląg,Gdańsk,Gorzów Wielkopolski,Jelenia Góra,Kalisz,Katowice,Kielce,Konin,Koszalin,Kraków,Krosno,Legnica,Leszno,Lublin,Łomża,Łódź,Nowy Sącz,Olsztyn,Opole,Ostrołęka,Piła,Piotrków Trybunalski,Płock,Poznań,Przemyśl,Radom,Rzeszów,Siedlce,Sieradz,Skierniewice,Słupsk,Suwałki,Szczecin,Tarnobrzeg,Tarnów,Toruń,Wałbrzych,Warszawa,Włocławek,Wrocław,Zakopane,Zamość,Zielona Góra
Katowice,422.5,489.142,58.814,409.343,433.816,357.402,88.978,73.591,568.087,516.831,468.08,289.043,220.099,0,158.895,317.425,709.403,80.965,262.617,249.729,294.672,348.175,440.414,199.509,188.257,473.67,110.252,414.554,470.043,152.374,300.483,379.786,325.372,238.421,246.057,380.25,188.615,240.146,598.068,585.306,573.986,270.205,161.917,357.558,256.054,289.511,305.25,191.157,177.944,385.539,360.99
Kielce,264.774,374.259,211.744,361.182,263.909,270.935,241.908,132.827,456.164,468.67,515.584,454.676,245.717,158.895,0,269.963,566.481,117.382,179.442,419.084,418.652,193.559,330.182,152.047,171.68,389.646,279.607,304.321,447.553,98.368,261.598,361.917,250.528,83.805,159.105,256.98,179.923,142.746,550.606,475.074,624.694,104.136,116.456,310.096,425.409,179.279,257.788,333.697,230.369,217.249,505.077
Konin,382.875,409.724,374.793,122.922,453.258,205.318,397.716,245.496,333.056,281.799,260.354,290.207,57.471,317.425,269.963,0,336.794,388.245,456.745,253.376,139.985,374.03,363.037,126.536,495.536,299.864,205.231,337.177,217.276,172.99,126.677,104.881,515.302,271.432,425.344,315.289,88.702,158.631,325.527,507.929,367.658,370.375,395.251,111.495,259.702,219.002,87.63,179.04,485.223,465.464,248.041
Koszalin,679.531,628.378,768.469,191.651,749.914,447.973,755.59,542.014,263.272,192.6,246.818,527.16,376.37,709.403,566.481,336.794,0,789.63,752.812,454.714,314.189,670.475,503.257,434.956,896.921,359.203,618.074,479.528,140.053,469.056,349.081,236.906,811.368,567.878,721.411,611.735,499.273,455.077,67.182,569.063,162.83,666.442,870.582,234.771,522.273,515.448,318.639,414.912,886.609,761.91,355.803
Kraków,380.845,490.33,123.712,478.764,354.848,387.005,153.877,143.011,572.235,586.251,545.458,366.421,313.824,80.965,117.382,388.245,789.63,0,184.187,330.172,375.115,305.661,442.283,266.84,109.826,501.748,190.695,416.423,550.486,194.28,367.815,460.229,246.942,195.907,167.627,369.082,250.912,254.997,665.4,587.175,654.429,191.775,83.487,424.89,336.497,291.38,372.582,271.6,109.527,307.109,441.433
Krosno,356.743,545.512,257.322,547.264,254.295,442.188,335.529,324.663,627.417,654.752,727.11,548.073,495.476,262.617,179.442,456.745,752.812,184.187,0,512.421,557.364,233.731,497.039,337.506,91.515,556.504,372.944,471.179,732.736,283.826,428.456,642.478,93.325,250.663,56.577,338.44,365.381,355.589,736.065,641.931,836.679,126.582,79.875,495.555,518.746,346.137,443.247,453.849,189.7,218.586,623.682
Legnica,593.402,620.252,308.795,387.067,606.009,469.895,295.916,307.312,680.58,629.324,210.542,56.037,198.206,249.729,419.084,253.376,454.714,330.172,512.421,0,99.628,547.158,574.618,300.046,439.839,590.176,160.992,548.758,305.892,308.38,416.989,252.428,576.954,432.776,497.64,526.87,235.107,370.212,523.377,719.51,320.935,521.788,413.499,405.554,71.271,430.584,421.756,79.794,429.526,637.121,107.939
Leszno,510.152,537.001,353.738,200.79,616.628,342.889,340.859,292.78,445.003,393.747,177.896,170.437,115.609,294.672,418.652,139.985,314.189,375.115,557.364,99.628,0,500.018,489.025,308.473,484.719,391.747,205.872,463.165,173.223,316.807,263.249,87.364,621.835,441.203,542.52,441.277,243.533,284.619,347.716,633.917,286.521,566.668,458.38,216.529,182.253,344.99,231.367,99.643,474.407,682.002,108.938
Lublin,131.208,248.503,401.024,464.928,70.195,270.016,431.189,312.807,456.589,512.243,618.95,581.032,370.57,348.175,193.559,374.03,670.475,305.661,233.731,547.158,500.018,0,279.724,299.296,320.817,387.486,470.143,267.089,558.924,223.542,284.798,473.15,195.205,114.854,178.739,119.868,305.836,216.942,661.977,379.267,735.927,134.553,255.72,421.467,540.272,177.822,369.16,459.611,431.34,87.027,616.31
Łomża,168.739,85.092,497.782,453.935,289.466,111.27,520.705,368.485,255.638,311.292,607.958,608.492,405.533,440.414,330.182,363.037,503.257,442.283,497.039,574.618,489.025,279.724,0,279.996,511.452,145.565,481.657,35.32,539.623,286.409,196.337,453.849,473.647,254.603,434.792,130.065,344.312,226.654,445.583,146.029,716.626,390.693,454.812,402.167,578.748,153.422,349.859,498.087,555.489,369.806,597.009
Łódź,300.975,327.825,256.877,229.409,371.358,177.468,279.799,127.58,388.153,336.897,371.456,333.919,123.457,199.509,152.047,126.536,434.956,266.84,337.506,300.046,308.473,299.296,279.996,0,376.248,298.671,205.817,257.253,320.015,47.432,125.484,206.769,391.765,141.017,301.807,235.365,68.472,78.707,423.069,428.005,469.546,246.838,271.714,182.559,302.908,139.079,130.251,222.247,365.935,346.834,349.929
